,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T0001,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.42
T0002,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.39
T0003,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.38
T0004,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.40
T0005,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.40
T0006,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.42
T0007,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.47
T0008,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.50
T0009,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.50
T0010,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.50
T0011,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.51
T0012,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.51
T0013,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.52
T0014,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.52
T0015,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.52
T0016,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.51
T0017,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.50
T0018,0.34,0.34,0.36,0.92,1.13,0.99,0.80,0.99,0.89,0.89,0.90,0.90,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.01,1.01,1.00,2.49
