,EC,FC,HP_EHR
T0001,5.241,23.1,1.948
T0002,5.309,23.1,1.948
T0003,5.332,23.1,1.948
T0004,5.279,23.1,1.948
T0005,5.271,23.1,1.948
T0006,5.226,23.1,1.948
T0007,5.119,23.1,1.948
T0008,5.058,23.1,1.948
T0009,5.066,23.1,1.948
T0010,5.058,23.1,1.948
T0011,5.05,23.1,1.948
T0012,5.035,23.1,1.948
T0013,5.02,23.1,1.948
T0014,5.02,23.1,1.948
T0015,5.028,23.1,1.948
T0016,5.043,23.1,1.948
T0017,5.058,23.1,1.948
T0018,5.081,23.1,1.948
T0019,5.111,23.1,1.948
T0020,5.142,23.1,1.948
T0021,5.188,23.1,1.948
T0022,5.233,23.1,1.948
T0023,5.317,23.1,1.948
T0024,5.325,23.1,1.948
T0025,5.325,23.1,1.948
T0026,5.332,23.1,1.948
T0027,5.332,23.1,1.948
T0028,5.34,23.1,1.948
T0029,5.332,23.1,1.948
T0030,5.34,23.1,1.948
T0031,5.332,23.1,1.948
T0032,5.309,23.1,1.948
T0033,5.294,23.1,1.948
T0034,5.256,23.1,1.948
T0035,5.256,23.1,1.948
T0036,5.271,23.1,1.948
T0037,5.287,23.1,1.948
T0038,5.271,23.1,1.948
T0039,5.271,23.1,1.948
T0040,5.287,23.1,1.948
T0041,5.294,23.1,1.948
T0042,5.287,23.1,1.948
T0043,5.279,23.1,1.948
T0044,5.249,23.1,1.948
T0045,5.249,23.1,1.948
T0046,5.287,23.1,1.948
T0047,5.317,23.1,1.948
T0048,5.279,23.1,1.948
T0049,5.21,23.1,1.948
T0050,5.165,23.1,1.948
T0051,5.134,23.1,1.948
T0052,5.104,23.1,1.948
T0053,5.081,23.1,1.948
T0054,5.05,23.1,1.948
T0055,5.043,23.1,1.948
T0056,5.066,23.1,1.948
T0057,5.058,23.1,1.948
T0058,5.05,23.1,1.948
T0059,5.012,23.1,1.948
T0060,4.974,23.1,1.948
T0061,4.951,23.1,1.948
T0062,4.928,23.1,1.948
T0063,4.944,23.1,1.948
T0064,4.944,23.1,1.948
T0065,4.974,23.1,1.948
T0066,5.012,23.1,1.948
T0067,5.05,23.1,1.948
T0068,5.096,23.1,1.948
T0069,5.066,23.1,1.948
T0070,5.088,23.1,1.948
T0071,5.119,23.1,1.948
T0072,5.142,23.1,1.948
T0073,5.134,23.1,1.948
T0074,5.111,23.1,1.948
T0075,5.088,23.1,1.948
T0076,5.058,23.1,1.948
T0077,5.028,23.1,1.948
T0078,5.073,23.1,1.948
T0079,5.058,23.1,1.948
T0080,5.043,23.1,1.948
T0081,5.18,23.1,1.948
T0082,5.264,23.1,1.948
T0083,5.332,23.1,1.948
T0084,5.188,23.1,1.948
T0085,5.088,23.1,1.948
T0086,5.066,23.1,1.948
T0087,5.05,23.1,1.948
T0088,5.035,23.1,1.948
T0089,5.066,23.1,1.948
